127.0.0.1 - - [29/Nov/2016:22:25:21 -0500] "GET / HTTP/1.1" 404 1000
192.168.0.23 - - [29/Nov/2016:22:25:27 -0500] "GET /ForHire/clientRequest/byRegionCategory?category=Electrical&region=Ottawa%2C%20ON HTTP/1.1" 200 776
192.168.0.23 - - [29/Nov/2016:22:28:07 -0500] "GET /ForHire/clientRequest/byRegionCategory?category=Electrical&region=Ottawa%2C%20ON HTTP/1.1" 200 776
192.168.0.23 - - [29/Nov/2016:22:28:07 -0500] "GET /ForHire/authentication/validate?userToken=RkE5WN3LowJYgB40U0s7vwEChAbDSu4lvZkEdxiWuRc%3D HTTP/1.1" 200 771
192.168.0.23 - - [29/Nov/2016:22:36:19 -0500] "GET /ForHire/authentication/validate?userToken=RkE5WN3LowJYgB40U0s7vwEChAbDSu4lvZkEdxiWuRc%3D HTTP/1.1" 200 771
192.168.0.23 - - [29/Nov/2016:22:36:20 -0500] "GET /ForHire/authentication/validate?userToken=RkE5WN3LowJYgB40U0s7vwEChAbDSu4lvZkEdxiWuRc%3D HTTP/1.1" 200 771
192.168.0.23 - - [29/Nov/2016:22:37:19 -0500] "GET /ForHire/authentication/validate?userToken=RkE5WN3LowJYgB40U0s7vwEChAbDSu4lvZkEdxiWuRc%3D HTTP/1.1" 200 771
192.168.0.23 - - [29/Nov/2016:22:37:20 -0500] "GET /ForHire/authentication/validate?userToken=RkE5WN3LowJYgB40U0s7vwEChAbDSu4lvZkEdxiWuRc%3D HTTP/1.1" 200 771
192.168.0.23 - - [29/Nov/2016:22:37:21 -0500] "GET /ForHire/authentication/validate?userToken=RkE5WN3LowJYgB40U0s7vwEChAbDSu4lvZkEdxiWuRc%3D HTTP/1.1" 200 771
192.168.0.23 - - [29/Nov/2016:22:37:22 -0500] "GET /ForHire/authentication/validate?userToken=RkE5WN3LowJYgB40U0s7vwEChAbDSu4lvZkEdxiWuRc%3D HTTP/1.1" 200 771
192.168.0.23 - - [29/Nov/2016:22:37:52 -0500] "GET /ForHire/authentication/validate?userToken=RkE5WN3LowJYgB40U0s7vwEChAbDSu4lvZkEdxiWuRc%3D HTTP/1.1" 200 771
192.168.0.23 - - [29/Nov/2016:22:37:53 -0500] "GET /ForHire/authentication/validate?userToken=RkE5WN3LowJYgB40U0s7vwEChAbDSu4lvZkEdxiWuRc%3D HTTP/1.1" 200 771
192.168.0.23 - - [29/Nov/2016:22:37:54 -0500] "GET /ForHire/authentication/validate?userToken=RkE5WN3LowJYgB40U0s7vwEChAbDSu4lvZkEdxiWuRc%3D HTTP/1.1" 200 771
192.168.0.23 - - [29/Nov/2016:22:37:55 -0500] "GET /ForHire/authentication/validate?userToken=RkE5WN3LowJYgB40U0s7vwEChAbDSu4lvZkEdxiWuRc%3D HTTP/1.1" 200 771
192.168.0.23 - - [29/Nov/2016:22:37:56 -0500] "GET /ForHire/clientRequest/byRegionCategory?category=Electrical&region=Ottawa%2C%20ON HTTP/1.1" 200 776
192.168.0.23 - - [29/Nov/2016:22:39:01 -0500] "GET /ForHire/authentication/validate?userToken=RkE5WN3LowJYgB40U0s7vwEChAbDSu4lvZkEdxiWuRc%3D HTTP/1.1" 200 771
192.168.0.23 - - [29/Nov/2016:22:39:02 -0500] "GET /ForHire/authentication/validate?userToken=RkE5WN3LowJYgB40U0s7vwEChAbDSu4lvZkEdxiWuRc%3D HTTP/1.1" 200 771
192.168.0.23 - - [29/Nov/2016:22:39:04 -0500] "GET /ForHire/clientRequest/byRegionCategory?category=Electrical&region=Ottawa%2C%20ON HTTP/1.1" 200 776
192.168.0.23 - - [29/Nov/2016:22:42:06 -0500] "GET /ForHire/clientRequest/byRegionCategory?category=Electrical&region=Ottawa%2C%20ON HTTP/1.1" 200 776
192.168.0.23 - - [29/Nov/2016:22:42:08 -0500] "GET /ForHire/authentication/validate?userToken=Ad6dFGPTaZ4NHIuorbLw9aLL2D26PJk%2BY1C6AUVvCw8%3D HTTP/1.1" 200 774
192.168.0.23 - - [29/Nov/2016:22:42:09 -0500] "GET /ForHire/authentication/validate?userToken=Ad6dFGPTaZ4NHIuorbLw9aLL2D26PJk%2BY1C6AUVvCw8%3D HTTP/1.1" 200 774
192.168.0.23 - - [29/Nov/2016:22:42:11 -0500] "GET /ForHire/authentication/validate?userToken=Ad6dFGPTaZ4NHIuorbLw9aLL2D26PJk%2BY1C6AUVvCw8%3D HTTP/1.1" 200 774
192.168.0.23 - - [29/Nov/2016:22:42:13 -0500] "GET /ForHire/authentication/validate?userToken=Ad6dFGPTaZ4NHIuorbLw9aLL2D26PJk%2BY1C6AUVvCw8%3D HTTP/1.1" 200 774
192.168.0.23 - - [29/Nov/2016:22:42:14 -0500] "GET /ForHire/authentication/validate?userToken=RkE5WN3LowJYgB40U0s7vwEChAbDSu4lvZkEdxiWuRc%3D HTTP/1.1" 200 771
192.168.0.23 - - [29/Nov/2016:22:42:15 -0500] "GET /ForHire/authentication/validate?userToken=RkE5WN3LowJYgB40U0s7vwEChAbDSu4lvZkEdxiWuRc%3D HTTP/1.1" 200 771
192.168.0.23 - - [29/Nov/2016:22:42:32 -0500] "GET /ForHire/authentication/validate?userToken=RkE5WN3LowJYgB40U0s7vwEChAbDSu4lvZkEdxiWuRc%3D HTTP/1.1" 200 771
192.168.0.23 - - [29/Nov/2016:22:42:51 -0500] "GET /ForHire/clientRequest/byRegionCategory?category=Electrical&region=Ottawa%2C%20ON HTTP/1.1" 200 776
192.168.0.23 - - [29/Nov/2016:22:43:14 -0500] "GET /ForHire/clientRequest/byRegionCategory?category=Electrical&region=Ottawa%2C%20ON HTTP/1.1" 200 776
192.168.0.23 - - [29/Nov/2016:22:43:15 -0500] "GET /ForHire/clientRequest/byRegionCategory?category=Electrical&region=Ottawa%2C%20ON HTTP/1.1" 200 776
